epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,46.8968,1.40031,0.75787,0.99606,0.72207,0.000330709,0.000330709,0.000330709
2,95.2178,0.733,0.84843,1,0.43573,0.000637746,0.000637746,0.000637746
3,144.084,0.62914,0.82087,0.99803,0.47823,0.000918383,0.000918383,0.000918383
4,192.902,0.50715,0.84843,1,0.43836,0.0008812,0.0008812,0.0008812
5,247.757,0.43774,0.89567,1,0.32486,0.0008416,0.0008416,0.0008416
6,298.204,0.38389,0.87008,1,0.33614,0.000802,0.000802,0.000802
7,352.045,0.37463,0.89764,1,0.30613,0.0007624,0.0007624,0.0007624
8,401.072,0.32384,0.90748,0.99803,0.25325,0.0007228,0.0007228,0.0007228
9,451.636,0.25663,0.90354,1,0.23816,0.0006832,0.0006832,0.0006832
10,499.898,0.24973,0.90748,1,0.25784,0.0006436,0.0006436,0.0006436
11,547.217,0.22313,0.90157,1,0.25806,0.000604,0.000604,0.000604
12,596.58,0.207,0.90945,1,0.28053,0.0005644,0.0005644,0.0005644
13,644.94,0.1884,0.91929,0.99803,0.25704,0.0005248,0.0005248,0.0005248
14,689.796,0.16753,0.90354,1,0.25016,0.0004852,0.0004852,0.0004852
15,737.23,0.14915,0.91732,1,0.24446,0.0004456,0.0004456,0.0004456
16,783.194,0.16792,0.90551,1,0.25408,0.000406,0.000406,0.000406
17,828.264,0.14341,0.90157,1,0.25781,0.0003664,0.0003664,0.0003664
18,873.352,0.11847,0.92126,1,0.24191,0.0003268,0.0003268,0.0003268
19,918.802,0.12172,0.91732,1,0.21835,0.0002872,0.0002872,0.0002872
20,963.889,0.1185,0.9252,1,0.21332,0.0002476,0.0002476,0.0002476
21,1008.71,0.11272,0.92126,1,0.207,0.000208,0.000208,0.000208
22,1053.51,0.10594,0.91732,1,0.21309,0.0001684,0.0001684,0.0001684
23,1098.32,0.11249,0.9252,1,0.19917,0.0001288,0.0001288,0.0001288
24,1143.42,0.0986,0.9252,1,0.19744,8.92e-05,8.92e-05,8.92e-05
25,1187.71,0.08523,0.92717,1,0.19777,4.96e-05,4.96e-05,4.96e-05
